"REF_DATE","GEO","DGUID","Indigenous identity","Grade","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 1","Male","Number","223","units","0","v1281058800","1.1.4.2","7422","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 1","Female","Number","223","units","0","v1281058801","1.1.4.3","7041","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 1","Sex not reported","Number","223","units","0","v1281058802","1.1.4.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 2","Total, sex","Number","223","units","0","v1281058803","1.1.5.1","14724","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 2","Male","Number","223","units","0","v1281058804","1.1.5.2","7566","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 2","Female","Number","223","units","0","v1281058805","1.1.5.3","7158","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 2","Sex not reported","Number","223","units","0","v1281058806","1.1.5.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 3","Total, sex","Number","223","units","0","v1281058807","1.1.6.1","15093","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 3","Male","Number","223","units","0","v1281058808","1.1.6.2","7620","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 3","Female","Number","223","units","0","v1281058809","1.1.6.3","7473","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 3","Sex not reported","Number","223","units","0","v1281058810","1.1.6.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 4","Total, sex","Number","223","units","0","v1281058811","1.1.7.1","14586","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 4","Male","Number","223","units","0","v1281058812","1.1.7.2","7434","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 4","Female","Number","223","units","0","v1281058813","1.1.7.3","7152","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 4","Sex not reported","Number","223","units","0","v1281058814","1.1.7.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 5","Total, sex","Number","223","units","0","v1281058815","1.1.8.1","14289","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 5","Male","Number","223","units","0","v1281058816","1.1.8.2","7239","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 5","Female","Number","223","units","0","v1281058817","1.1.8.3","7050","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 5","Sex not reported","Number","223","units","0","v1281058818","1.1.8.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 6","Total, sex","Number","223","units","0","v1281058819","1.1.9.1","14448","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 6","Male","Number","223","units","0","v1281058820","1.1.9.2","7323","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 6","Female","Number","223","units","0","v1281058821","1.1.9.3","7128","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 6","Sex not reported","Number","223","units","0","v1281058822","1.1.9.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 7","Total, sex","Number","223","units","0","v1281058823","1.1.10.1","14568","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 7","Male","Number","223","units","0","v1281058824","1.1.10.2","7383","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 7","Female","Number","223","units","0","v1281058825","1.1.10.3","7185","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 7","Sex not reported","Number","223","units","0","v1281058826","1.1.10.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 8","Total, sex","Number","223","units","0","v1281058827","1.1.11.1","14394","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 8","Male","Number","223","units","0","v1281058828","1.1.11.2","7227","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 8","Female","Number","223","units","0","v1281058829","1.1.11.3","7170","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 8","Sex not reported","Number","223","units","0","v1281058830","1.1.11.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 9","Total, sex","Number","223","units","0","v1281058831","1.1.12.1","15060","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 9","Male","Number","223","units","0","v1281058832","1.1.12.2","7647","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 9","Female","Number","223","units","0","v1281058833","1.1.12.3","7416","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 9","Sex not reported","Number","223","units","0","v1281058834","1.1.12.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 10","Total, sex","Number","223","units","0","v1281058835","1.1.13.1","16593","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 10","Male","Number","223","units","0","v1281058836","1.1.13.2","8367","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 10","Female","Number","223","units","0","v1281058837","1.1.13.3","8226","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 10","Sex not reported","Number","223","units","0","v1281058838","1.1.13.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 11","Total, sex","Number","223","units","0","v1281058839","1.1.14.1","15375","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 11","Male","Number","223","units","0","v1281058840","1.1.14.2","7680","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 11","Female","Number","223","units","0","v1281058841","1.1.14.3","7695","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 11","Sex not reported","Number","223","units","0","v1281058842","1.1.14.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 12","Total, sex","Number","223","units","0","v1281058843","1.1.15.1","17652","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 12","Male","Number","223","units","0","v1281058844","1.1.15.2","8556","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 12","Female","Number","223","units","0","v1281058845","1.1.15.3","9096","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade 12","Sex not reported","Number","223","units","0","v1281058846","1.1.15.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade not reported","Total, sex","Number","223","units","0","v1281058847","1.1.16.1","1212","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade not reported","Male","Number","223","units","0","v1281058848","1.1.16.2","603","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade not reported","Female","Number","223","units","0","v1281058849","1.1.16.3","606","","","","0"
"2015/2016","Canada","2016A000011124","Total, Indigenous identity","Grade not reported","Sex not reported","Number","223","units","0","v1281058850","1.1.16.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Total, grade","Total, sex","Number","223","units","0","v1281058851","1.2.1.1","84846","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Total, grade","Male","Number","223","units","0","v1281058852","1.2.1.2","42792","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Total, grade","Female","Number","223","units","0","v1281058853","1.2.1.3","42051","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Total, grade","Sex not reported","Number","223","units","0","v1281058854","1.2.1.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Junior Kindergarten  ","Total, sex","Number","223","units","0","v1281058855","1.2.2.1","1374","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Junior Kindergarten  ","Male","Number","223","units","0","v1281058856","1.2.2.2","678","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Junior Kindergarten  ","Female","Number","223","units","0","v1281058857","1.2.2.3","696","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Junior Kindergarten  ","Sex not reported","Number","223","units","0","v1281058858","1.2.2.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Kindergarten","Total, sex","Number","223","units","0","v1281058859","1.2.3.1","5949","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Kindergarten","Male","Number","223","units","0","v1281058860","1.2.3.2","3111","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Kindergarten","Female","Number","223","units","0","v1281058861","1.2.3.3","2838","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Kindergarten","Sex not reported","Number","223","units","0","v1281058862","1.2.3.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 1","Total, sex","Number","223","units","0","v1281058863","1.2.4.1","6405","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 1","Male","Number","223","units","0","v1281058864","1.2.4.2","3330","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 1","Female","Number","223","units","0","v1281058865","1.2.4.3","3075","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 1","Sex not reported","Number","223","units","0","v1281058866","1.2.4.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 2","Total, sex","Number","223","units","0","v1281058867","1.2.5.1","6471","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 2","Male","Number","223","units","0","v1281058868","1.2.5.2","3360","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 2","Female","Number","223","units","0","v1281058869","1.2.5.3","3111","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 2","Sex not reported","Number","223","units","0","v1281058870","1.2.5.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 3","Total, sex","Number","223","units","0","v1281058871","1.2.6.1","6552","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 3","Male","Number","223","units","0","v1281058872","1.2.6.2","3297","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 3","Female","Number","223","units","0","v1281058873","1.2.6.3","3255","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 3","Sex not reported","Number","223","units","0","v1281058874","1.2.6.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 4","Total, sex","Number","223","units","0","v1281058875","1.2.7.1","6318","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 4","Male","Number","223","units","0","v1281058876","1.2.7.2","3255","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 4","Female","Number","223","units","0","v1281058877","1.2.7.3","3063","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 4","Sex not reported","Number","223","units","0","v1281058878","1.2.7.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 5","Total, sex","Number","223","units","0","v1281058879","1.2.8.1","5991","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 5","Male","Number","223","units","0","v1281058880","1.2.8.2","3042","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 5","Female","Number","223","units","0","v1281058881","1.2.8.3","2952","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 5","Sex not reported","Number","223","units","0","v1281058882","1.2.8.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 6","Total, sex","Number","223","units","0","v1281058883","1.2.9.1","6135","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 6","Male","Number","223","units","0","v1281058884","1.2.9.2","3051","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 6","Female","Number","223","units","0","v1281058885","1.2.9.3","3084","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 6","Sex not reported","Number","223","units","0","v1281058886","1.2.9.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 7","Total, sex","Number","223","units","0","v1281058887","1.2.10.1","6036","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 7","Male","Number","223","units","0","v1281058888","1.2.10.2","3042","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 7","Female","Number","223","units","0","v1281058889","1.2.10.3","2997","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 7","Sex not reported","Number","223","units","0","v1281058890","1.2.10.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 8","Total, sex","Number","223","units","0","v1281058891","1.2.11.1","5793","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 8","Male","Number","223","units","0","v1281058892","1.2.11.2","2886","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 8","Female","Number","223","units","0","v1281058893","1.2.11.3","2904","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 8","Sex not reported","Number","223","units","0","v1281058894","1.2.11.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 9","Total, sex","Number","223","units","0","v1281058895","1.2.12.1","6435","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 9","Male","Number","223","units","0","v1281058896","1.2.12.2","3243","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 9","Female","Number","223","units","0","v1281058897","1.2.12.3","3192","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 9","Sex not reported","Number","223","units","0","v1281058898","1.2.12.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 10","Total, sex","Number","223","units","0","v1281058899","1.2.13.1","7347","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 10","Male","Number","223","units","0","v1281058900","1.2.13.2","3657","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 10","Female","Number","223","units","0","v1281058901","1.2.13.3","3690","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 10","Sex not reported","Number","223","units","0","v1281058902","1.2.13.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 11","Total, sex","Number","223","units","0","v1281058903","1.2.14.1","6288","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 11","Male","Number","223","units","0","v1281058904","1.2.14.2","3102","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 11","Female","Number","223","units","0","v1281058905","1.2.14.3","3186","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 11","Sex not reported","Number","223","units","0","v1281058906","1.2.14.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 12","Total, sex","Number","223","units","0","v1281058907","1.2.15.1","7482","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 12","Male","Number","223","units","0","v1281058908","1.2.15.2","3576","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 12","Female","Number","223","units","0","v1281058909","1.2.15.3","3906","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade 12","Sex not reported","Number","223","units","0","v1281058910","1.2.15.4","0","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade not reported","Total, sex","Number","223","units","0","v1281058911","1.2.16.1","270","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade not reported","Male","Number","223","units","0","v1281058912","1.2.16.2","165","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade not reported","Female","Number","223","units","0","v1281058913","1.2.16.3","102","","","","0"
"2015/2016","Canada","2016A000011124","First Nations","Grade not reported","Sex not reported","Number","223","units","0","v1281058914","1.2.16.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Total, grade","Total, sex","Number","223","units","0","v1281058915","1.3.1.1","38982","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Total, grade","Male","Number","223","units","0","v1281058916","1.3.1.2","19725","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Total, grade","Female","Number","223","units","0","v1281058917","1.3.1.3","19251","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Total, grade","Sex not reported","Number","223","units","0","v1281058918","1.3.1.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Junior Kindergarten  ","Total, sex","Number","223","units","0","v1281058919","1.3.2.1","447","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Junior Kindergarten  ","Male","Number","223","units","0","v1281058920","1.3.2.2","219","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Junior Kindergarten  ","Female","Number","223","units","0","v1281058921","1.3.2.3","231","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Junior Kindergarten  ","Sex not reported","Number","223","units","0","v1281058922","1.3.2.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Kindergarten","Total, sex","Number","223","units","0","v1281058923","1.3.3.1","2478","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Kindergarten","Male","Number","223","units","0","v1281058924","1.3.3.2","1275","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Kindergarten","Female","Number","223","units","0","v1281058925","1.3.3.3","1203","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Kindergarten","Sex not reported","Number","223","units","0","v1281058926","1.3.3.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 1","Total, sex","Number","223","units","0","v1281058927","1.3.4.1","2571","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 1","Male","Number","223","units","0","v1281058928","1.3.4.2","1302","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 1","Female","Number","223","units","0","v1281058929","1.3.4.3","1269","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 1","Sex not reported","Number","223","units","0","v1281058930","1.3.4.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 2","Total, sex","Number","223","units","0","v1281058931","1.3.5.1","2679","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 2","Male","Number","223","units","0","v1281058932","1.3.5.2","1368","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 2","Female","Number","223","units","0","v1281058933","1.3.5.3","1311","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 2","Sex not reported","Number","223","units","0","v1281058934","1.3.5.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 3","Total, sex","Number","223","units","0","v1281058935","1.3.6.1","2832","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 3","Male","Number","223","units","0","v1281058936","1.3.6.2","1467","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 3","Female","Number","223","units","0","v1281058937","1.3.6.3","1365","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 3","Sex not reported","Number","223","units","0","v1281058938","1.3.6.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 4","Total, sex","Number","223","units","0","v1281058939","1.3.7.1","2754","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 4","Male","Number","223","units","0","v1281058940","1.3.7.2","1428","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 4","Female","Number","223","units","0","v1281058941","1.3.7.3","1323","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 4","Sex not reported","Number","223","units","0","v1281058942","1.3.7.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 5","Total, sex","Number","223","units","0","v1281058943","1.3.8.1","2811","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 5","Male","Number","223","units","0","v1281058944","1.3.8.2","1428","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 5","Female","Number","223","units","0","v1281058945","1.3.8.3","1380","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 5","Sex not reported","Number","223","units","0","v1281058946","1.3.8.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 6","Total, sex","Number","223","units","0","v1281058947","1.3.9.1","2823","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 6","Male","Number","223","units","0","v1281058948","1.3.9.2","1449","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 6","Female","Number","223","units","0","v1281058949","1.3.9.3","1374","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 6","Sex not reported","Number","223","units","0","v1281058950","1.3.9.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 7","Total, sex","Number","223","units","0","v1281058951","1.3.10.1","2967","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 7","Male","Number","223","units","0","v1281058952","1.3.10.2","1515","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 7","Female","Number","223","units","0","v1281058953","1.3.10.3","1455","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 7","Sex not reported","Number","223","units","0","v1281058954","1.3.10.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 8","Total, sex","Number","223","units","0","v1281058955","1.3.11.1","2937","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 8","Male","Number","223","units","0","v1281058956","1.3.11.2","1440","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 8","Female","Number","223","units","0","v1281058957","1.3.11.3","1497","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 8","Sex not reported","Number","223","units","0","v1281058958","1.3.11.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 9","Total, sex","Number","223","units","0","v1281058959","1.3.12.1","3069","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 9","Male","Number","223","units","0","v1281058960","1.3.12.2","1578","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 9","Female","Number","223","units","0","v1281058961","1.3.12.3","1494","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 9","Sex not reported","Number","223","units","0","v1281058962","1.3.12.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 10","Total, sex","Number","223","units","0","v1281058963","1.3.13.1","3429","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 10","Male","Number","223","units","0","v1281058964","1.3.13.2","1725","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 10","Female","Number","223","units","0","v1281058965","1.3.13.3","1701","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 10","Sex not reported","Number","223","units","0","v1281058966","1.3.13.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 11","Total, sex","Number","223","units","0","v1281058967","1.3.14.1","3204","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 11","Male","Number","223","units","0","v1281058968","1.3.14.2","1602","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 11","Female","Number","223","units","0","v1281058969","1.3.14.3","1602","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 11","Sex not reported","Number","223","units","0","v1281058970","1.3.14.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 12","Total, sex","Number","223","units","0","v1281058971","1.3.15.1","3858","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 12","Male","Number","223","units","0","v1281058972","1.3.15.2","1854","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 12","Female","Number","223","units","0","v1281058973","1.3.15.3","2004","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade 12","Sex not reported","Number","223","units","0","v1281058974","1.3.15.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade not reported","Total, sex","Number","223","units","0","v1281058975","1.3.16.1","117","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade not reported","Male","Number","223","units","0","v1281058976","1.3.16.2","75","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade not reported","Female","Number","223","units","0","v1281058977","1.3.16.3","39","","","","0"
"2015/2016","Canada","2016A000011124","Métis","Grade not reported","Sex not reported","Number","223","units","0","v1281058978","1.3.16.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Total, grade","Total, sex","Number","223","units","0","v1281058979","1.4.1.1","2022","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Total, grade","Male","Number","223","units","0","v1281058980","1.4.1.2","1014","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Total, grade","Female","Number","223","units","0","v1281058981","1.4.1.3","1008","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Total, grade","Sex not reported","Number","223","units","0","v1281058982","1.4.1.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Junior Kindergarten  ","Total, sex","Number","223","units","0","v1281058983","1.4.2.1","27","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Junior Kindergarten  ","Male","Number","223","units","0","v1281058984","1.4.2.2","15","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Junior Kindergarten  ","Female","Number","223","units","0","v1281058985","1.4.2.3","12","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Junior Kindergarten  ","Sex not reported","Number","223","units","0","v1281058986","1.4.2.4","0","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Kindergarten","Total, sex","Number","223","units","0","v1281058987","1.4.3.1","150","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Kindergarten","Male","Number","223","units","0","v1281058988","1.4.3.2","87","","","","0"
"2015/2016","Canada","2016A000011124","Inuit","Kindergarten","Female","Number","223","units","0","v1281058989","1.4.3.3","63","","","","0"
